,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng,_merge
63451,Motorgate,Roosevelt Island Tramway,16,40.7639089,-73.9477213,40.757284,-73.9536,both
71293,Soissons Landing,Picnic Point,16,40.69231660719192,-74.01486575603485,40.68512559515415,-74.02535319328308,both
71382,South St & Gouverneur Ln,South St & Gouverneur Ln,16,40.70355377,-74.00670227,40.70355377,-74.00670227,both
75975,Vernon Blvd & 50 Ave,Franklin St & Dupont St,16,40.74232744,-73.95411749,40.73564,-73.95866,both
80112,W 21 St & 6 Ave,W 20 St & 8 Ave,16,40.74173969,-73.99415556,40.74345335,-74.00004031,both
80114,W 21 St & 6 Ave,W 22 St & 10 Ave,16,40.74173969,-73.99415556,40.74691959,-74.00451887,both
80336,W 22 St & 10 Ave,W 21 St & 6 Ave,16,40.74691959,-74.00451887,40.74173969,-73.99415556,both
80510,W 22 St & 8 Ave,W 22 St & 10 Ave,16,40.74475148,-73.99915362,40.74691959,-74.00451887,both
81017,W 26 St & 10 Ave,W 26 St & 8 Ave,16,40.749717753,-74.002950346,40.74734825,-73.99723551,both
81057,W 26 St & 8 Ave,11 Ave & W 27 St,16,40.74734825,-73.99723551,40.751396,-74.005226,both
92253,West St & Liberty St,Little West St & 1 Pl,16,40.711444,-74.014847,40.70569254,-74.01677685,both
92343,West St & Liberty St,West Thames St,16,40.711444,-74.014847,40.70834698,-74.01713445,both
